FILE	NAME	TYPE	LENGTH	FIELD_TITLE	TITLE	CODES	CODE_VALUES
pbp_Section_A	pbp_a_hnumber	CHAR	5	H Number	H Number		
pbp_Section_A	pbp_a_plan_identifier	CHAR	3	Plan ID	Plan ID		
pbp_Section_A	segment_id	NUM	3	Segment ID	Segment ID		
pbp_Section_A	pbp_a_ben_cov	CHAR	1	Coverage Criteria	Coverage Criteria	1	Part A and Part B
pbp_Section_A	pbp_a_ben_cov					2	Part B Only
pbp_Section_A	pbp_a_plan_type	CHAR	2	Plan Type	Plan Type	01	HMO
pbp_Section_A	pbp_a_plan_type					02	HMOPOS
pbp_Section_A	pbp_a_plan_type					04	Local PPO
pbp_Section_A	pbp_a_plan_type					05	PSO (State License)
pbp_Section_A	pbp_a_plan_type					07	MSA
pbp_Section_A	pbp_a_plan_type					08	RFB PFFS
pbp_Section_A	pbp_a_plan_type					09	PFFS
pbp_Section_A	pbp_a_plan_type					18	1876 Cost
pbp_Section_A	pbp_a_plan_type					19	HCPP - 1833 Cost
pbp_Section_A	pbp_a_plan_type					20	National Pace
pbp_Section_A	pbp_a_plan_type					29	Medicare Prescription Drug Plan
pbp_Section_A	pbp_a_plan_type					30	Employer/Union Only Direct Contract PDP
pbp_Section_A	pbp_a_plan_type					31	Regional PPO
pbp_Section_A	pbp_a_plan_type					32	Fallback
pbp_Section_A	pbp_a_plan_type					40	Employer/Union Only Direct Contract PFFS
pbp_Section_A	pbp_a_plan_type					42	RFB HMO
pbp_Section_A	pbp_a_plan_type					43	RFB HMOPOS
pbp_Section_A	pbp_a_plan_type					44	RFB Local PPO
pbp_Section_A	pbp_a_plan_type					45	RFB PSO (State License)
pbp_Section_A	pbp_a_plan_type					47	Employer Direct PPO
pbp_Section_A	pbp_a_plan_type					48	MMP HMO
pbp_Section_A	pbp_a_plan_type					49	MMP HMOPOS
pbp_Section_A	orgtype	CHAR	2	Organization Type	Organization Type	01	Local CCP
pbp_Section_A	orgtype					02	MSA
pbp_Section_A	orgtype					03	RFB
pbp_Section_A	orgtype					04	PFFS
pbp_Section_A	orgtype					05	Demo
pbp_Section_A	orgtype					06	1876 Cost
pbp_Section_A	orgtype					07	HCPP - 1833 Cost
pbp_Section_A	orgtype					08	National PACE
pbp_Section_A	orgtype					10	PDP
pbp_Section_A	orgtype					11	Regional CCP
pbp_Section_A	orgtype					12	Fallback
pbp_Section_A	orgtype					13	Employer/Union Only Direct Contract PDP
pbp_Section_A	orgtype					14	Employer/Union Only Direct Contract PFFS
pbp_Section_A	orgtype					15	RFB Local CCP
pbp_Section_A	orgtype					17	Employer/Union Only Direct Contract Local CCP
pbp_Section_A	bid_id	CHAR	13	"BID ID (H-number, Plan ID, Segment ID)"	Bid ID		
pbp_Section_A	version	NUM	3	Version Number	Version Number		
pbp_Section_A	pbp_a_contract_partd_flag	CHAR	1	Does your plan offer a Medicare Prescription drug (Part D) benefit?	Contract Part D Flag	1	Yes
pbp_Section_A	pbp_a_contract_partd_flag					2	No
pbp_Section_A	pbp_a_platino_flag	CHAR	1	Does Plan meet requirement to participate in the PLATINO program?	PLATINO requirement met	1	Yes
pbp_Section_A	pbp_a_platino_flag					2	No
pbp_Section_A	pbp_a_snp_pct	CHAR	1	Percentage:	SNP Percentage	1	Exclusive
pbp_Section_A	pbp_a_snp_pct					2	Disproportionate
pbp_Section_A	pbp_a_vbid_indicator	CHAR	1	Is this plan participating in the VBID (Value-Based Insurance Design) program?	VBID Indicator	1	Yes
pbp_Section_A	pbp_a_vbid_indicator					2	No
pbp_Section_A	pbp_a_partd_model_flag	CHAR	1	Is this a Part D Model plan?	Part D Model Plan	0	No
pbp_Section_A	pbp_a_partd_model_flag					1	Yes
pbp_Section_A	pbp_a_last_data_entry_date	CHAR	10	Last Data Entry date	Last Data Entry date		
pbp_Section_A	pbpver	CHAR	8	PBP Software Version	PBP Software Version		
